keyword,city,name,salary,experience,education,company,location,industry,scale,financing,description,link
AI应用开发,北京,27届可转正-AI应用开发实习生,480-530元/天,,本科,字节跳动,北京·海淀区·中关村,,,,ByteIntern：boss面向2027届来自BOSS直聘毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。团队介绍：飞书项⽬是飞书旗下专业项⽬管理平台，作为字节跳动B端企业服务领域的核⼼产品之一，致力于通过标准化⼯作流构建高效协作体系，大幅提升团队协作效率，驱动项目精准落地，目标成为企业专业项目管理工具的首选。自上线以来，飞书项目已服务上千家头部企业，深度覆盖互联网、汽车制造、消费电子、医疗健康等多元行业，核心客户包括抖音、小米、理想汽车、蔚来、联影医疗等，用技术赋能各行业业务增长。团队聚焦大语言模型（LLM）在项目管理场景的落地应用，围绕AI Agent、RAG等核心技术方向，打造具备智能化、场景化的项目管理工具，将大模型能力转化为可落地的产品功能，持续优化用户体验与业务效率。1、协助团队设计与实现面向项目管理场景的Agent智能体后端功能，参与任务规划、工具调用、对话管理等模块的开发与调试，助力优化智能体在复杂业务场景下的稳定性与执行效率；2、协助开展基于RAG的知识问答/助理类应用后端开发，参与检索、召回、重排等核心模块的工程实现与调优，配合,/job_detail/5aa6a006393f5e930nB40925E1BU.html
AI应用开发,北京,AI Agent / LLM 应用开发工程师（数据中台,20-30K,3-5年,本科,福州福数万仞智能科技,北京·海淀区·学院路,,,,【岗位定kanzhun位】负boss责将 LLM / Agent 技术 落地到真实数据中台与节能业务场景中。从数据质量监测切入，逐步完成数据清洗、查询、分析、资产化等智能化改造。认同理念：技术服务于工程，工程服务于业务。【工作内容】参与楼宇/能源领域的数据中台建设，负责多源异构数据的质量监测、清洗与加⼯运⽤ LLM / Agent / Context Engineering 技术，构建数据查询、异常监测、⾃动化修复等实用工具从数据质量监测需求起步，逐步扩展⾄数据规则生成、归因分析、知识问答等能力与节能业务专家协作，将合同能源管理、智能建筑等知识转化为可被 Agent 调用的能力确保数据资产价值实现【任职要求】必备条件对 LLM / Agent 有真实热情，关注前沿，更愿意动手落地熟悉 Python，掌握 SQL，具备扎实的数据 ETL 经验，能处理复杂、异构数据了解或使用过至少一种 Agent 框架（LangChain / Semantic Kernel / AutoGPT 等）愿意从工程实操做起：写代码、调数据、做异常处理、加日志监控，不排斥繁琐工作具备快速理解业,/job_detail/a480d2ea579f4ee20nB_29q1GVRY.html
AI应用开发,北京,AI 应用开发实习生,350-450元/天,,本科,快手,北京·海淀区·上地,,,,"1、参boss与AI应用的全kanzhun栈开发，用于解决生产场景的一系列复杂问题，赋能业务，实现⾼ROI的业务指标提升，以及全流程提升产研效能，保障业务稳定性，改进提⾼系统性能等；2、开发适⽤于生产场景的 MultiAgent系统、prompt工程，探索 MultiAgent 上下⽂工程的最佳实践，解决将 MultiAgent 应用于产品时遇到的最棘手的挑战。3、探索前沿AI技术，包括但不限于多模态大模型、Agent架构设计、RAG技术优化、工具调用链路设计等，并快速构建原型验证技术可行性；4. 跟踪AI技术发展趋势，深度研究相关产品、开源项目、前沿论文，提炼核心技术要点并在团队中分享，推动技术创新应用；任职要求1、本科及以上学历，计算机科学、软件工程、人工智能、数据科学等相关专业优先，每周可实习 5天，能持续实习 3 个月及以上者优先；2、熟悉至少一种编程语言（如 Java、Python 等）,具备一定的编程基础，了解常见的数据结构与算法，能独立完成代码编写与调试；3、熟悉 AI 产品的使用逻辑与应用场景，有 AI 工具使用经验，对 AI 技术有浓厚兴趣； 4、了解Agent核心组",/job_detail/57a1b94a87e194c40nB82dy1FlVU.html
AI应用开发,北京,AI应用开发（AI Agent与效能方向）,40-70K·14薪,3-5年,硕士,NIO蔚来,北京·海淀区·苏州桥,,,,"【团BOSS直聘队简介】我boss们是一支致力于探索和落地前沿 AI 技术的创新研发团队。在这里，你将告别传统的“增删改查”，直接参与⼤语⾔模型（LLM）在智驾业务与研发⼯作流中的深度应用。我们鼓励极客精神，提供充⾜的算力与试错空间。期待你的加入，与我们一起主导并定义下一代“AI驱动”的工作范式。【岗位职责】1. AI Agent 业务赋能与架构设计：深入理解智驾等具体业务场景（DataBI、AI视频图像分析等），负责基于 LLM 的 AI Agent 应用架构设计与核心代码开发，解决复杂场景下的规划（Planning）、记忆（Memory）与工具调用（Tool-use）问题，切实提升业务运转效率；2. 前沿技术攻坚与 PoC 转化：持续追踪业界最前沿的 AI 技术动态与开源方案（如 Dify, LangGraph 及其在场景落地应用），快速完成概念验证（PoC），并能攻克技术瓶颈，将其转化为稳定、可扩展的生产级能力；3. 效能工具工程化与平台演进：主导 AI 创新落地过程中的工程化难题，负责端到端的系统开发与交付。构建高可用、高性能的内部 AI 效能平台，服务于全体研发团队，并持续收",/job_detail/1810f064e775a9b50nd62Nu5E1JW.html
AI应用开发,北京,AI应用开发,20-40K,3-5年,本科,连云港富然网络科技,北京·朝阳区·西坝河,,,,岗位职责:  1. 负责AI技术在实际应用场景中的开发与落地，推动技术方案的实施与迭代。  2. 参与AI系统的设计与优化，提升应用的智能化水平和运⾏效率。  3. 结合业务需求，开发并集成AI模型，实现功能化和产品化⽬标。  4. 与跨职能团队协作，完成从需求分析到部署上线的全流程⼯作。  任职要求：  1. 熟练掌握至少一种编程语⾔，具备扎实的开发能力；  2. 对人工智能技术有深入理解，熟悉常见算法和模型的应用场景；  3. 具备较强的逻辑思维和问题解决能力，能够应对复杂技术挑战；  4. 具有良好的沟通能力和团队协作意识，能高效推进项目进展。,/job_detail/b80f9ad6677870c40nd82dy0EFtR.html
AI应用开发,北京,Ai应用开发工程师/Agent搭建交付,12-24K,1-3年,本科,位来无忧,北京·海淀区·中关村,,,,【岗位职责】1、核心职责：针对不同层级、不同场景的B端客户，通过搭建大模型Agent、机审策略等方式，解决客户内容安全方⾯的问题；2、客户售前⽀持：根据客户的需求场景搭建模型解决⽅案，综合运用 PE、搜索、知识库等手段，综合达到准召及成本要求，促成合作；3、客户售后⽀撑：解答客户在模型使用过程中的疑问，通过使用内部大模型平台、SQL等工具进行Bad Case分析并优化模型能力，定期输出模型运行效果分析报告，主动反馈潜在风险与优化方向；4、能力迭代：基于客户需求及当前存在的共性问题，协同前场、后场共同打造优质的标准化的内容安全大模型产品【岗位要求】1、大模型经验：1-3年Ai相关经验，对大模型能力、Agent搭建、提示词调整有较多经验；2、专业技能：能够借助Ai、excel等工具，对数据清洗工具、并进行数据分析等工作；3、沟通与项目管理能力：能够挖掘与分析客户真实需求，推动项目进展，协同解决售前售后问题；4、抗压能力：能在实效性要求较高、质量要求较高的工作场景下，保持一定的思考和解决问题的能力【福利待遇】1、薪资一人一议2、入职缴纳五险一金（北京基数）3、工作时间：早十晚七周末双休4、包,/job_detail/cfaf6071d7446b6e0nB42NS-FFdZ.html
AI应用开发,北京,AI应用工程师,20-35K·13薪,3-5年,本科,网梯科技发展有限公司,北京·海淀区·学院路,,,,岗位职kanzhun责 1. 负责 AI 应用产品的开发、落地与持续迭代，包括但不限于智能助手、自动化工作流、Agent、RAG、AI ⼯具类产品等；2. 基于⼤模型能⼒，完成从需求理解、方案设计、技术选型、开发实现到上线验证的完整闭环；3. 快速调研和接入主流 AI 能⼒与工具，如 OpenAI、Claude、Gemini、国产大模型、向量数据库、工作流/Agent 框架等；4. 与业务团队紧密协作，把业务问题转化为可落地的 AI 产品方案，并对最终效果负责；5. 持续优化产品体验、响应速度、稳定性、成本和转化效果；6. 主动发现可以用 AI 提效、降本或创造收入的场景，并推动实现。任职要求 1. 对 AI 应用开发有强烈兴趣，愿意持续学习和实践最新的大模型、Agent、自动化工具和 AI 产品形态；2. 具备较强的工程开发能力，熟悉至少一种主流开发语言，如 Python、JavaScript/TypeScript、Go 等；3. 有完整项目经验，能够独立完成需求分析、开发、测试、上线和问题修复；4. 具备强闭环能力，遇到问题不甩锅，能主动推进、快速验证、持续迭代；5. 责任心强，对,/job_detail/6a9b48c968d717f30nB53Nm1ElNV.html
AI应用开发,北京,AI 全栈工程师 / AIGC 应用开发工程师,15-30K,1-3年,本科,镜像效应,北京·朝阳区·高碑店,,,,AI 全boss栈工程师 / AIGC 应用开发工程师职位详情1、负责 AIGC 视频创作平台的全栈开发，覆盖前端 创作智能体工作台、素材管理等核⼼模块，以及后端 接口、任务队列、结果存储、异常处理、⼯作流编排等平台能⼒；2、与算法工程师协作，完成公司自研/微调视频⽣成大模型的平台接入、推理接口调用、参数封装、服务调试和产品化落地；能够基于 Prompt Engineering、参数配置、后端流程编排等方式，对生成效果进行快速验证和优化；3、基于创作者使用场景，搭建脚本生成、分镜拆解、Prompt 优化、素材检索、视频生成、多轮迭代等创意工作流，并参与 AI Agent 能力开发，实现任务规划、工具调用、素材分析、生成结果评估和创意建议等能力；4、持续跟进 AIGC、视频生成、多模态大模型、ComfyUI、AI 编程等技术进展，推动其在创作平台中的快速验证和应用落地。职位要求1、本科及以上学历，计算机、人工智能、软件工程、电子信息等相关专业优先；具备 1 年及以上前端、后端或全栈开发经验，熟悉 React/Vue/Next.js、TypeScript，以及 Python/Node.js,/job_detail/1661845b06792f5c0nB_2t69E1ZY.html
AI应用开发,北京,ai小说+短剧赛道  ai应用开发 C端P6P7,50-80K,5-10年,本科,某互联网公司,北京,,,,岗位职kanzhun责1.参与BOSS直聘公司 AI 项目的研发工作，包括但不限于机器学习、深度学习等相关算法的研究、优化与实现，确保算法的高效性和准确性，以满足项⽬的实际需求。2.负责数据的处理与分析，对海量数据进⾏清洗、预处理、特征⼯程等操作，为模型训练提供高质量的数据支持，保障模型训练的效果。3.与产品、研发等跨部门团队紧密协作，深⼊理解业务需求，将 AI 技术与业务场景深度融合，推动 AI 解决方案在实际业务中的落地应用，并持续优化提升。4.跟踪国内外 AI 领域的前沿技术动态和研究成果，结合公司内容业务实际，探索新技术在公司项目中的应用可能性。职位要求1.本科及以上学历，计算机科学、人工智能、数学等相关专业，具备扎实的专业知识功底。2.具有 AI 相关领域实际项目开发经验者优先，具备良好的数学基础，熟悉概率论与数理统计、线性代数等知识，能够运用数学知识解决实际的算法问题。3.熟练掌握至少一门编程语言（如 Python、Java 等），具有良好的编程习惯和代码风格，能够高效地完成代码编写工作。4.具备较强的问题分析与解决能力、逻辑思维能力和团队协作精神，能够积极应对工作中出现的,/job_detail/5fd7aeeef7b53f530nB529i1GVBW.html
AI应用开发,北京,AI应用开发实习生（即梦）-剪映CapCut,400-450元/天,,本科,深圳字节跳动,北京·海淀区·中关村,,,,ByteIntern：BOSS直聘面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。团队介绍：剪映研发团队，主要⽀持剪映、CapCut、醒图、Hypic、即梦、Dreamina、⼩云雀、Pippit等多款国内外产品的研发⼯作，业务覆盖多元化影像创作场景，并孵化了多款AIGC明星产品，相关产品多次登顶国内外App Store 免费应用榜第一，并继续保持⾼速增长。加入我们，一起打造全球最受用户欢迎的影像创作和GenAI产品。1、负责即梦App核心功能研发工作、架构设计以及体验优化；2、通过调研、评估和引入前沿AI能力，与产品、设计团队紧密协作，将前沿的AIGC技术转化为实际应用；3、研究AI生成领域技术研究与应用，包括但不限于生成模型优化、多模态内容合成、实时交互体验提升等方向；4、持续关注行业动态和用户反馈，通过技术手段迭代产品AI应用能力，为用户创造全新体验。职位要求1、2027届本科及以上学历在读，计算机、通信和电子信息科学等相关专业优先；2、精通至少一门编程语言，包括但不仅限于：C/C++、Python、Go、Java，有一定工程能力,/job_detail/01837cb346096d020nZ-2tq7FVtS.html
